date,time,total_enter,total_exit,total_by_datetime
03-25-2023,04:00:00,18720,41868,60588
03-25-2023,08:00:00,27352,71633,98985
03-25-2023,12:00:00,89442,230675,320117
03-25-2023,16:00:00,147419,317889,465308
03-25-2023,20:00:00,138351,286135,424486
03-26-2023,00:00:00,75190,144598,219788
03-26-2023,04:00:00,15999,37100,53099
03-26-2023,08:00:00,20924,50605,71529
03-26-2023,12:00:00,79678,205286,284964
03-26-2023,16:00:00,133235,312928,446163
03-26-2023,20:00:00,134194,257258,391452
03-27-2023,00:00:00,62107,107412,169519
03-27-2023,04:00:00,8728,18335,27063
03-27-2023,08:00:00,97044,253898,350942
03-27-2023,12:00:00,149345,444653,593998
03-27-2023,16:00:00,245919,327863,573782
03-27-2023,20:00:00,291812,384150,675962
03-28-2023,00:00:00,72600,100375,172975
03-28-2023,04:00:00,10064,17398,27462
03-28-2023,08:00:00,105347,279441,384788
03-28-2023,12:00:00,165375,524337,689712
03-28-2023,16:00:00,253375,348054,601429
03-28-2023,20:00:00,326027,438214,764241
03-29-2023,00:00:00,91392,128410,219802
03-29-2023,04:00:00,11291,19751,31042
03-29-2023,08:00:00,105987,284885,390872
03-29-2023,12:00:00,168197,522893,691090
03-29-2023,16:00:00,256682,357358,614040
03-29-2023,20:00:00,333283,452784,786067
03-30-2023,00:00:00,94223,137022,231245
03-30-2023,04:00:00,11916,20645,32561
03-30-2023,08:00:00,103268,274500,377768
03-30-2023,12:00:00,167944,511067,679011
03-30-2023,16:00:00,255866,364347,620213
03-30-2023,20:00:00,323432,457623,781055
03-31-2023,00:00:00,97298,142162,239460
03-31-2023,04:00:00,13920,25232,39152
03-31-2023,08:00:00,88985,237934,326919
03-31-2023,12:00:00,149141,412791,561932
03-31-2023,16:00:00,258972,377711,636683
03-31-2023,20:00:00,341657,413215,754872
